ingredient,matched_pattern,frequency,length
tocopherol. may contain (+/-) iron oxides (ci 77491),may contain,1,52
tocopherol. +/- (may contain/peut contenir) yellow 5 lake (ci 19140),may contain,1,68
tocopherol may contain ci 77491 (iron oxides),may contain,1,45
tin oxide. may contain/peut contenir,may contain,1,36
squalene. may contain (+/-) red 40 lake/ci 16035,may contain,1,48
alcohol. may contain (+/-) mica,may contain,1,31
tin oxide. may contain (+/-) titanium dioxide/ci 77891,may contain,1,54
tin oxide. may contain (+/-) red 40 lake (ci 16035),may contain,1,51
tin oxide. may contain (+/-) mica,may contain,1,33
tin oxide. may contain,may contain,1,22
all - may contain (+/-) ci 16035 (red 40 lake),may contain,1,46
may contain/peut contenir ci 77499/iron oxides,may contain,1,46
may contain/peut contenir (+/-) titanium dioxide (ci 77891),may contain,1,59
collagen amino acids (vegan),vegan,1,28
may contain/peut contenir (+/-)  titanium dioxide (ci 77891),may contain,1,60
may contain (+/-) red 40 lake / ci 16035,may contain,1,40
may contain (+/-) mica,may contain,1,22
may contain (+/-) iron oxides (ci 77491,may contain,1,39
may contain (+/-) ci 77891 (titanium dioxides),may contain,1,46
citronellyl methylcrotonate. may contain (+/-) red 6/ci 15850,may contain,1,61
made from high-quality pvc (vinyl). free from harmful chemicals such as phthalates,"free from, made from",1,82
made from 100% highest grade (6a) long fiber mulberry silk with a thickness of 22 momme (exclusive of elastic),made from,1,110
coconut alcohol (non-denatured alcohol made from fermented coconut),made from,1,67
linalool. +/- (may contain/peut contenir) titanium dioxide (ci 77891),may contain,1,69
latex-free polyurethane foam,-free,1,28
kappaphycus alvarezii extract. may contain (+/-) ci 77492 (iron oxides),may contain,1,71
juju bar is vegan,vegan,1,17
ethylhexylglycerin. may contain (+/-) iron oxides (ci 77491),may contain,1,60
daybed rosebud vegan candle,vegan,1,27
cruelty-free synthetic eyelashes,"-free, cruelty-free",1,32
ceramosides standardized gluten-free wheat ceramide extract (triticum vulgare),-free,1,78
may contain (+/-) titanium dioxide ci 77891,may contain,1,43
may contain +/- blue 1 (ci42090),may contain,1,32
may contain ci 77499/iron oxides.n6,may contain,1,35
may contain mica,may contain,1,16
may contain iron oxides (ci 77492,may contain,1,33
may contain iron oxides,may contain,1,23
may contain ci 77891/titanium dioxide,may contain,1,37
may contain ci 77891 / titanium dioxide ci 77491,may contain,1,48
camellia sinensis leaf extract may contain,may contain,1,42
canopy fig vegan candle,vegan,1,23
may contain / peut contenir (+/-) titanium dioxide (ci 77891),may contain,1,61
caprylic/capric triglyceride may contain ci 77891 (titanium dioxide),may contain,1,68
may contain ci 77007 / ultramarines,may contain,1,35
may contain / peut contenir mica,may contain,1,32
+/-(may contain/peut contenir)yellow 5 lake (ci 19140),may contain,1,54
caprylyl glycol may contain (+/-) titanium dioxide (ci 77891),may contain,1,61
may contain / peut contenir ci 77400 / bronze powder,may contain,1,52
+/- (may contain/peut contenir) ultramarines (ci 77007),may contain,1,55
